"","ID","Label","Statement","Subject(s)","Speaker","Speaker Job Title","State Info","The Party Affiliation","Barely True Counts","False Counts","Half True Counts","Mostly True Counts","Pants on Fire Counts","Venue/Location"
"1",1,"half-true","When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.","energy,history,job-accomplishments","scott-surovell","State delegate","Virginia","democrat",0,0,1,1,0,"a floor speech."
"2",2,"mostly-true","Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""","foreign-policy","barack-obama","President","Illinois","democrat",70,71,160,163,9,"Denver"
"3",3,"false","Health care reform legislation is likely to mandate free sex change surgeries.","health-care","blog-posting","unknown","unknown","none",7,19,3,5,44,"a news release"
"4",4,"half-true","The economic turnaround started at the end of my term.","economy,jobs","charlie-crist","unknown","Florida","democrat",15,9,20,19,2,"an interview on CNN"
"5",5,"true","The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.","education","robin-vos","Wisconsin Assembly speaker","Wisconsin","republican",0,3,2,5,1,"a an online opinion-piece"
"6",6,"barely-true","Jim Dunnam has not lived in the district he represents for years now.","candidates-biography","republican-party-texas","unknown","Texas","republican",3,1,1,3,1,"a press release."
"7",7,"half-true","I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.","ethics","barack-obama","President","Illinois","democrat",70,71,160,163,9,"a Democratic debate in Philadelphia, Pa."
"8",8,"half-true","However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.","jobs","oregon-lottery","unknown","unknown","organization",0,0,1,0,1,"a website"
"9",9,"mostly-true","Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.","energy,message-machine-2014,voting-record","duey-stroebel","State representative","Wisconsin","republican",0,0,0,1,0,"an online video"
"10",10,"mostly-true","For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.","elections","robert-menendez","U.S. Senator","New Jersey","democrat",1,3,1,3,0,"a speech"
"11",11,"half-true","Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","economy,jobs,new-hampshire-2012,poverty","bernie-s","U.S. Senator","Vermont","independent",18,12,22,41,0,"a tweet"
"12",12,"false","When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget","mitt-romney","Former governor","Massachusetts","republican",34,32,58,33,19,"an interview with CBN News"
"13",13,"mostly-true","The economy bled $24 billion due to the government shutdown.","economy,federal-budget,health-care","doonesbury","unknown","unknown","none",0,0,2,4,0,"a Doonesbury strip in the Sunday comics"
"14",14,"barely-true","Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.","health-care","george-will","Columnist","Maryland","columnist",7,6,3,5,1,"comments on ""Fox News Sunday"""
