"","The.Party.Affiliation","Speaker","p_bt","p_fc","p_ht","p_mt","p_pfic","X","ID","Label","Statement","Subject.s.","Speaker.Job.Title","State.Info","Barely.True.Counts","False.Counts","Half.True.Counts","Mostly.True.Counts","Pants.on.Fire.Counts","Venue.Location","Ts"
"1","democrat","barack-obama",578,569,901,988,179,2,2,"mostly-true","Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""","foreign-policy","President","Illinois",70,71,160,163,9,"Denver",473
"2","democrat","barack-obama",578,569,901,988,179,7,7,"half-true","I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.","ethics","President","Illinois",70,71,160,163,9,"a Democratic debate in Philadelphia, Pa.",473
"3","democrat","barack-obama",578,569,901,988,179,16,16,"true","McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.'","federal-budget","President","Illinois",70,71,160,163,9,"a radio ad",473
"4","democrat","barack-obama",578,569,901,988,179,74,74,"mostly-true","The cost of health care is now the single-biggest factor driving down the federal budget deficit.","deficit,federal-budget,health-care","President","Illinois",70,71,160,163,9,"a speech at Northwestern University",473
"5","democrat","barack-obama",578,569,901,988,179,105,105,"true","Sen. Obama has always had a 100 percent prochoice rating.","abortion","President","Illinois",70,71,160,163,9,"an e-mail message sent to voters before Super Tuesday.",473
"6","democrat","barack-obama",578,569,901,988,179,114,114,"true","The economy is creating jobs at the fastest pace since 1999.","economy,jobs","President","Illinois",70,71,160,163,9,"the State of the Union address",473
"7","democrat","barack-obama",578,569,901,988,179,145,145,"true","Hillary Clinton has taken over $800,000 from lobbyists.","ethics","President","Illinois",70,71,160,163,9,"an online ad.",473
"8","democrat","barack-obama",578,569,901,988,179,214,214,"barely-true","Milwaukee Mayor Tom Barrett has held the line on property taxes.","job-accomplishments,taxes","President","Illinois",70,71,160,163,9,"a speech at a campaign fund-raiser for Tom Barrett's gubernatorial campaign",473
"9","democrat","barack-obama",578,569,901,988,179,220,220,"mostly-true","At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.","economy,federal-budget","President","Illinois",70,71,160,163,9,"his State of the Union speech",473
"10","democrat","barack-obama",578,569,901,988,179,244,244,"half-true","Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.","foreign-policy","President","Illinois",70,71,160,163,9,"a mailer to Pennsylvania voters",473
"11","democrat","barack-obama",578,569,901,988,179,254,254,"false","Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.","health-care,supreme-court","President","Illinois",70,71,160,163,9,"an interview on Fox",473
"12","democrat","barack-obama",578,569,901,988,179,256,256,"true","Warren (Buffett) still does support me.","economy","President","Illinois",70,71,160,163,9,"a television interview",473
"13","democrat","barack-obama",578,569,901,988,179,291,291,"true","I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.","economy","President","Illinois",70,71,160,163,9,"a town hall in St. Petersburg, Fla.",473
"14","democrat","barack-obama",578,569,901,988,179,297,297,"false","On using the Strategic Petroleum Reserve.","energy","President","Illinois",70,71,160,163,9,"unknown",473
"15","democrat","barack-obama",578,569,901,988,179,337,337,"mostly-true","In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.","corrections-and-updates,economy,jobs","President","Illinois",70,71,160,163,9,"the State of the Union address",473
"16","democrat","barack-obama",578,569,901,988,179,341,341,"mostly-true","We are younger than our competitors, and this is entirely because of immigration.","immigration","President","Illinois",70,71,160,163,9,"a speech to business leaders",473
"17","democrat","barack-obama",578,569,901,988,179,348,348,"true","President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.","bipartisanship,federal-budget","President","Illinois",70,71,160,163,9,"a televised address",473
"18","democrat","barack-obama",578,569,901,988,179,350,350,"false","Most young Americans right now, theyre not covered by health insurance.","health-care","President","Illinois",70,71,160,163,9,"a Funnyordie.com ""Between Two Ferns"" interview with Zach Galifianakis",473
"19","democrat","barack-obama",578,569,901,988,179,382,382,"true","2008 was the deadliest year of the war (in Afghanistan) for American forces.","afghanistan,military","President","Illinois",70,71,160,163,9,"a speech at the White House.",473
"20","democrat","barack-obama",578,569,901,988,179,412,412,"true","Hillary Clinton ""starts off with 47 percent of the country against her.""","elections","President","Illinois",70,71,160,163,9,"a campaign rally in Alexandria, Va.",473
"21","democrat","barack-obama",578,569,901,988,179,414,414,"half-true","Groups that receive foreign money are spending huge sums to influence American elections.","campaign-finance,corporations,abc-news-week","President","Illinois",70,71,160,163,9,"a speech",473
"22","democrat","barack-obama",578,569,901,988,179,439,439,"true","Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.","jobs,trade","President","Illinois",70,71,160,163,9,"the State of the Union speech",473
"23","democrat","barack-obama",578,569,901,988,179,453,453,"true","Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.","federal-budget","President","Illinois",70,71,160,163,9,"a debate in Nashville, Tenn.",473
"24","democrat","barack-obama",578,569,901,988,179,463,463,"true","McCain ""hired some of the biggest lobbyists in Washington to run his campaign.""","elections,ethics","President","Illinois",70,71,160,163,9,"Tampa, Fla.",473
"25","democrat","barack-obama",578,569,901,988,179,467,467,"false","John wasn't this raging populist four years ago when he ran for president.","job-accomplishments","President","Illinois",70,71,160,163,9,"Chariton, Iowa",473
"26","democrat","barack-obama",578,569,901,988,179,530,530,"true","Obama's tax plan cuts taxes ""for 95 percent of all working families.""","taxes","President","Illinois",70,71,160,163,9,"Elko, Nev.",473
"27","democrat","barack-obama",578,569,901,988,179,541,541,"pants-fire","What we said was, you can keep (your plan) if it hasnt changed since the law passed.","health-care","President","Illinois",70,71,160,163,9,"a speech to Organizing for Action",473
"28","democrat","barack-obama",578,569,901,988,179,551,551,"true","Last year, Exxon pocketed nearly $4.7 million every hour.","corporations,energy","President","Illinois",70,71,160,163,9,"a speech in the Rose Garden",473
"29","democrat","barack-obama",578,569,901,988,179,569,569,"half-true","John McCain ""opposed legislation to fund levees and flood control programs, which he considers pork.""","federal-budget","President","Illinois",70,71,160,163,9,"remarks to U.S. Conference of Mayors",473
"30","democrat","barack-obama",578,569,901,988,179,583,583,"mostly-true","In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror.","afghanistan","President","Illinois",70,71,160,163,9,"a speech at the United States Military Academy.",473
"31","democrat","barack-obama",578,569,901,988,179,585,585,"mostly-true","This year, were off to our best private-sector jobs growth since 1999.","economy,jobs","President","Illinois",70,71,160,163,9,"a speech in Chattanooga, Tenn.",473
"32","democrat","barack-obama",578,569,901,988,179,590,590,"half-true","Weve created more jobs in the United States than every other advanced economy combined since I came into office.","jobs","President","Illinois",70,71,160,163,9,"an interview on CBS' ""Face the Nation""",473
"33","democrat","barack-obama",578,569,901,988,179,612,612,"mostly-true","14,000 Americans . . . lose their health insurance every single day.","health-care","President","Illinois",70,71,160,163,9,"a news conference.",473
"34","democrat","barack-obama",578,569,901,988,179,644,644,"half-true","Joe Biden brought Republicans and Democrats together to pass the 1994 crime bill, putting 100,000 cops on the streets and starting an eight-year drop in crime across the country.","crime","President","Illinois",70,71,160,163,9,"unknown",473
"35","democrat","barack-obama",578,569,901,988,179,657,657,"mostly-true","8 years of the Clintons, major losses for Democrats across the nation.","elections","President","Illinois",70,71,160,163,9,"a flyer sent prior to Super Tuesday",473
"36","democrat","barack-obama",578,569,901,988,179,665,665,"false","If the House of Representatives fails to extend the middle-class tax cuts, 400,000 middle-class Rhode Island families will see their federal income taxes increase.","economy,families,federal-budget,income,taxes","President","Illinois",70,71,160,163,9,"a report",473
"37","democrat","barack-obama",578,569,901,988,179,669,669,"pants-fire","If you actually took the number of Muslims [sic] Americans, we'd be one of the largest Muslim countries in the world.","religion","President","Illinois",70,71,160,163,9,"interview with Canal Plus Television",473
"38","democrat","barack-obama",578,569,901,988,179,694,694,"mostly-true","Since the United States began negotiations with Iran, thats probably the first year and a half in which Iran has not advanced its nuclear program in the last decade.","foreign-policy,nuclear","President","Illinois",70,71,160,163,9,"comments on CNN's ""State of the Union""",473
"39","democrat","barack-obama",578,569,901,988,179,739,739,"true","For the average middle-class family, your taxes today are lower than when I took office.","job-accomplishments,taxes","President","Illinois",70,71,160,163,9,"a speech in Scranton, Pa.",473
"40","democrat","barack-obama",578,569,901,988,179,743,743,"mostly-true","Barack Obama ""passed laws moving people from welfare to work.""","poverty","President","Illinois",70,71,160,163,9,"a television ad",473
"41","democrat","barack-obama",578,569,901,988,179,760,760,"half-true","Says Paul Ryan tried to change the whole game for Social Security","federal-budget,message-machine-2012,retirement,social-security","President","Illinois",70,71,160,163,9,"a radio ad",473
"42","democrat","barack-obama",578,569,901,988,179,776,776,"half-true","Barack Obama's network of small donors constitutes a ""parallel public financing system.""","ethics","President","Illinois",70,71,160,163,9,"Washington, D.C.",473
"43","democrat","barack-obama",578,569,901,988,179,843,843,"true","History tells us that job growth always lags behind economic growth.","economy","President","Illinois",70,71,160,163,9,"remarks from the White House",473
"44","democrat","barack-obama",578,569,901,988,179,857,857,"mostly-true","The presidents budget would take ... non-defense spending to its lowest level ... as a percentage of the economy since JFK.","economy,federal-budget,military","President","Illinois",70,71,160,163,9,"remarks at a bill signing",473
"45","democrat","barack-obama",578,569,901,988,179,871,871,"half-true","Romneys Medicare plan was estimated to cost the average senior about $6,000 a year.","debates,medicare,retirement","President","Illinois",70,71,160,163,9,"a debate in Denver",473
"46","democrat","barack-obama",578,569,901,988,179,889,889,"half-true","Says Texas wildfires are linked to climate change.","climate-change,environment","President","Illinois",70,71,160,163,9,"a fundraising event in San Jose, Calif.",473
"47","democrat","barack-obama",578,569,901,988,179,905,905,"half-true","Over the last few years, weve put more people back to work than all the other advanced economies combined.","economy,jobs,labor,workers","President","Illinois",70,71,160,163,9,"a press conference after the G20 summit",473
"48","democrat","barack-obama",578,569,901,988,179,932,932,"mostly-true","Says Mitt Romney just gave a speech a few weeks ago and said we should still have troops in Iraq.","debates,iraq,military","President","Illinois",70,71,160,163,9,"the third presidential debate",473
"49","democrat","barack-obama",578,569,901,988,179,961,961,"mostly-true","When we've got CEOs making more in 10 minutes than ordinary workers are making in a year ... then something is wrong.","economy","President","Illinois",70,71,160,163,9,"a campaign rally in Houston, Texas",473
"50","democrat","barack-obama",578,569,901,988,179,982,982,"mostly-true","The last six polls, including this week's Time magazine, show that I beat John McCain by six or seven points.","elections","President","Illinois",70,71,160,163,9,"a campaign rally in Alexandria, Va.",473
"51","democrat","barack-obama",578,569,901,988,179,985,985,"half-true","Says that when President Bill Clinton raised the top tax rates to levels now proposed by Obama, the country experienced significant job growth.","deficit,jobs,taxes","President","Illinois",70,71,160,163,9,"a Twitter Town Hall",473
"52","democrat","barack-obama",578,569,901,988,179,1023,1023,"mostly-true","Big oil's filling John McCain's campaign with $2-million in contributions.","ethics","President","Illinois",70,71,160,163,9,"a TV ad",473
"53","democrat","barack-obama",578,569,901,988,179,1026,1026,"half-true","Says Mitt Romneys plan makes catastrophic cuts to education.","education,message-machine-2012","President","Illinois",70,71,160,163,9,"a campaign ad",473
"54","democrat","barack-obama",578,569,901,988,179,1053,1053,"half-true","Bin Laden had declared war against Pakistan.","foreign-policy,military,terrorism","President","Illinois",70,71,160,163,9,"an address to the nation",473
"55","democrat","barack-obama",578,569,901,988,179,1058,1058,"true","John McCain said last year he didn't know of a solution to the mortgage crisis.","economy,housing","President","Illinois",70,71,160,163,9,"Golden, Colo.",473
"56","democrat","barack-obama",578,569,901,988,179,1080,1080,"mostly-true","Romney would turn Medicare into a voucher program.","debates,medicare","President","Illinois",70,71,160,163,9,"the first presidential debate",473
"57","democrat","barack-obama",578,569,901,988,179,1140,1140,"true","After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three.","economy,jobs","President","Illinois",70,71,160,163,9,"the State of the Union Address",473
"58","democrat","barack-obama",578,569,901,988,179,1150,1150,"mostly-true","Today, American companies have nearly $2 trillion sitting on their balance sheets.","corporations,jobs","President","Illinois",70,71,160,163,9,"a speech to the Chamber of Commerce",473
